"Otic","Lens","Olfactory","Adeno","Trygem","Epi"
"Cdyl2","Aldh3a2","Agtr1a","Cobl","Clu","Blvrb"
"Celf4","Aldh5a1","Agtrap","Col11a1","Cnih2","Bmp1"
"Cenpv","Aldh6a1","Aifm3","Col13a1","Cnrip1","Bmp4"
"Cep85l","Alg12","Aim2","Col5a2","Cobl","Bnc2"
"Chmp4c","Alkbh4","Ajap1","Cox15","Col16a1","Boc"
"Chst10","Alyref2","Ak1","Cox6b2","Copz2","Borcs6"
"Chst14","Amacr","Ak5","Cpeb3","Coq10a","Btbd6"
"Chst2","Amy1","Akr1b10","Cpm","Coro2b","Btg2"
"Chst9","Angel1","Alas2","Cpne5","Cox6b2","C1ql4"
"Chtf8","Angptl2","Aldh1a3","Crb2","Cped1","Cacna2d1"
"Cited1","Angptl4","Aldh3a2","Crispld1","Cpne4","Cacng4"
"Cited4","Ank","Aldh5a1","Crnde","Cpne5","Calcoco1"
"Cldn10","Ankle1","Aldh6a1","Cryab","Cracr2b","Calcrl"
"Cldn14","Ankrd13b","Alg12","Ctsc","Crb2","Cap2"
"Cldn9","Ankrd24","Alkbh4","Ctsf","Creb3","Car10"
"Clip2","Anks1b","Alyref2","Ctxn3","Crip1","Car12"
"Clstn2","Ano10","Amacr","Cyp26a1","Crnde","Card10"
"Cnnm4","Antxr1","Amer2","Cyp26c1","Cryab","Carf"
"Cnp","Anxa11","Amigo1","Dbp","Cryl1","Caskin2"
"Cnr1","Anxa2","Amy1","Dclk1","Csrp1","Casp7"
"Cntln","Anxa3","Angel1","Dcxr","Ctbs","Catsper2"
"Cntn4","Anxa4","Angptl1","Ddc","Ctns","Cbarp"
"Col11a1","Anxa6","Angptl2","Ddias","Ctsc","Ccdc102a"
"Col25a1","Ap1g2","Angptl3","Ddx25","Ctsf","Ccdc125"
"Col26a1","Ap1s2","Angptl4","Depdc7","Cyp26a1","Ccdc126"
"Col27a1","Ap3b2","Ank","Dffa","Cyp7b1","Ccdc148"
"Col9a1","Ap4b1","Ankle1","Dgkk","Dact1","Ccdc150"
"Colgalt2","Ap5s1","Ankrd13b","Dhtkd1","Dact2","Ccdc160"
"Coro2b","Ap5z1","Ankrd13d","Dlg2","Dbndd1","Ccdc181"
"Cox15","Apcdd1","Ankrd22","Dlgap1","Dcc","Ccdc192"
"Cpeb3","Aph1b","Ankrd24","Dmbx1","Dcdc2a","Ccdc51"
"Cpne8","Apobec3","Anks1b","Dmrt3","Dclk1","Ccdc68"
"Crispld1","Apoc1","Anks6","Dmrta1","Ddias","Ccdc73"
"Crnde","Aqp12","Ano1","Dmrta2","Ddx25","Ccdc80"
"Cryl1","Arfgef3","Ano10","Dnajc16","Decr2","Cchcr1"
"Csrp1","Arg1","Antxr1","Dnajc4","Dffa","Ccnb1ip1"
"Ctbs","Arg2","Anxa11","Dpp6","Dgat2","Ccng1"
"Ctu1","Arhgap23","Anxa6","Dscam","Dgkk","Cd36"
"Ctxn3","Arhgap27","Ap1s2","Dusp18","Dkk1","Cd44"
"Cyth1","Arhgap31","Ap4b1","Dusp5","Dlgap1","Cda"
"D430041D05Rik","Arhgap33","Ap5s1","E2f2","Dll1","Cdc42ep3"
"Daam2","Arhgap45","Ap5z1","Ebf4","Dlx3","Cdc42ep4"
"Dact1","Arhgap6","Apcdd1","Edn1","Dmbx1","Cdh11"
"Dact2","Arhgef10","Apln","Efna1","Dnajc4","Cdh6"
"Dcc","Arhgef10l","Apobec3","Egr1","Dnal1","Cdkn1a"
"Dclk1","Arhgef28","Apoc1","Eif4ebp3","Dock3","Cdr2l"
"Ddias","Arhgef39","Apol7d","Elavl4","Dscam","Cdyl2"
"Dgat2","Arhgef9","Aqp12","Elovl4","Dusp18","Celf4"
"Dgkh","Arl4a","Ar","Endod1","Dusp23","Cenpv"
"Dhtkd1","Armc5","Arap1","Enox1","Dusp3","Cep85l"
"Dlgap1","Armc6","Arfgef3","Epha7","E2f2","Chmp4c"
"Dll1","Armc7","Arg1","Eras","Ebf4","Chst9"
"Dnajc16","Armcx6","Arg2","Erbb4","Edil3","Cited1"
"Dock3","Arpin","Arhgap23","Ermn","Edn1","Cldn10"
"Dph2","Arrb1","Arhgap27","Esrra","Edn3","Cldn9"
"Dpp6","Arsb","Arhgap4","Esrrg","Egr1","Clip2"
"Dpyd","Asah2","Arhgap45","Etv1","Elf3","Cltb"
"Dqx1","Asb1","Arhgap6","Etv5","Elf5","Cnih2"
"Dusp3","Asic2","Arhgef10","Exoc8","Elovl7","Cnp"
"Dusp5","Aspn","Arhgef10l","Ezh1","Emx1","Cntln"
"E2f2","Ass1","Arhgef28","Faah","Epha7","Cntn4"
"Ebf3","Atg2a","Arhgef3","Faap100","Eras","Col11a1"
"Ecm2","Atg4a","Arhgef39","Faap24","Ets1","Col13a1"
"Edil3","Atg9a","Arhgef4","Fahd2a","Etv5","Col25a1"
"Ednra","Atl1","Arhgef9","Fam171a2","Eva1b","Col26a1"
"Eef2k","Atoh8","Arl10","Fam53b","Ezh1","Copz2"
"Eif4ebp3","Atp10a","Arl4a","Fan1","F2rl1","Coq10a"
"Eif5a2","Atp1b1","Arl4d","Fancb","Fahd2a","Coro2b"
"Elk3","Atp2b4","Armc5","Fastkd5","Fam114a1","Cox15"
"Elovl4","Atp2c2","Armc6","Fat3","Fam171a2","Cox6b2"
"Elovl7","Atp6v0e2","Armc7","Fezf1","Fam221a","Cped1"
"Emid1","Atp8a2","Armcx6","Fgf10","Fam222a","Cpm"
"Enox1","Atp8b1","Arpin","Fgf14","Fgf8","Cpne5"
"Enpp2","Atp8b2","Arsb","Fgf16","Fgf9","Cpne8"
"Entpd3","Atp9a","Arsg","Fgf5","Fhod1","Crb2"
"Epb41l1","Atxn7l2","Asah2","Fgf8","Fig4","Creb3"
"Epdr1","Awat2","Ascl1","Fig4","Fkbp14","Crip1"
"Epha7","Axl","Asphd2","Flnc","Fkbp1b","Crispld1"
"Esrra","Azin2","Aspn","Flrt2","Flnc","Crnde"
"Ets1","B3galnt1","Ass1","Foxg1","Flrt2","Cryab"
"Etv1","B3galt1","Atg2a","Foxp2","Flt1","Cryl1"
"Etv4","B3galt2","Atg4a","Fry","Fos","Csgalnact2"
"Etv5","B4galnt1","Atl1","Frzb","Foxi2","Csrnp3"
"Eva1b","B4galt5","Atp10a","Fzd4","Foxj2","Csrp1"
"Faap100","B9d2","Atp1b1","Fzd5","Foxp2","Ctbs"
"Fadd","BC048679","Atp2b4","Gabra4","Fry","Ctsc"
"Fam13a","Bag3","Atp6v0e2","Gabrb3","Gadd45b","Ctsf"
"Fam222a","Bahd1","Atp7b","Gad2","Gadd45g","Ctxn3"
"Fam43a","Baiap2","Atp8a2","Gadd45b","Galnt18","Cyp1b1"
"Fam53b","Barx2","Atp8b1","Galm","Gcnt1","Cyp26a1"
"Fam78b","Batf3","Atp8b2","Galnt13","Gjb5","Cyp4f16"
"Fam89a","Bbs1","Atp9a","Galnt14","Gm14305","Cyp7b1"
"Fan1","Bbs12","Atxn1","Gcnt1","Gm3696","Dact1"
"Fancb","Bche","Atxn7l2","Gdpgp1","Gm38393","Dact2"
"Fat3","Bcl2l2","Awat2","Gm14305","Gm5577","Dcc"
"Fbxo44","Bcl6","Azin2","Gm266","Gmppa","Decr2"
"Fdxr","Bcs1l","B3galnt1","Gm3696","Gnao1","Derl3"
"Fgf10","Bdh1","B3galt1","Gm38393","Gng11","Dffa"
"Fgf12","Bdh2","B3galt2","Gm5577","Gpr153","Dgat2"
"Fgf15","Bdnf","B3gat2","Gm5617","Gpr19","Dgkh"
"Fgf3","Begain","B4galnt1","Gm6712","Gprc5a","Dgkk"
"Fgf4","Bend6","B4galt5","Gmfg","Grem1","Dhtkd1"
"Fgf8","Bfsp2","B530045E10Rik","Gmppa","Gucd1","Dhx34"
"Fgf9","Bhlhe41","B930036N10Rik","Gna14","Hacd4","Dkk1"
"Fgfrl1","Bloc1s3","B9d2","Gnao1","Hdac5","Dlgap1"
"Fhdc1","Blvrb","BC025920","Gpam","Hebp1","Dmrt3"
"Fkbp14","Bmerb1","Bag3","Gpr19","Hexb","Dnah7b"
"Foxg1","Bmp1","Bahd1","Gpt2","Hhip","Dnajc16"
"Foxi2","Bmp4","Baiap2","Gramd1b","Hpn","Dnajc4"
"Gabrb3","Bnc1","Barx1","Gsc","Hs1bp3","Dnal1"
"Gabrg3","Bnc2","Barx2","Hcn1","Hs3st3b1","Dock3"
"Gad2","Bnipl","Batf3","Hdac5","Hsdl2","Dpp6"
"Galnt13","Boc","Bbs1","Hectd2","Hspb8","Dusp18"
"Gatm","Borcs6","Bbs10","Hes5","Hvcn1","Dusp3"
"Gbx2","Brat1","Bbs12","Hesx1","Id4","Dusp5"
"Gcnt1","Btbd6","Bche","Hey2","Iffo2","Ebf2"
"Gdpd5","Btd","Bcl11a","Hhat","Ifnlr1","Ecm2"
"Gdpgp1","Btg2","Bcl11b","Hk1","Igsf10","Edil3"
"Gfra1","C030034I22Rik","Bcl2l2","Hpse2","Ikzf4","Edn1"
"Gimap9","C1ql1","Bcl6","Hs1bp3","Il17d","Edn3"
"Glrb","C1qtnf4","Bcs1l","Hs3st3b1","Il17re","Efna1"
"Gm14305","Cacna1c","Bdh1","Hvcn1","Ilvbl","Egfr"
"Gm266","Cacna2d1","Bdh2","Hyls1","Inpp4a","Egr1"
"Gm6710","Cacna2d3","Bdnf","Ift172","Inpp5k","Eif4ebp3"
"Gna14","Cacng4","Bhlhe41","Igfbp3","Iqsec2","Elf3"
"Gorasp1","Cacng7","Bloc1s3","Ikzf4","Irs4","Elf5"
"Gpam","Cadm2","Blvra","Il15","Irx1","Elk3"
"Gpr155","Cage1","Blvrb","Il33","Irx3","Elovl4"
"Gpr161","Calcoco1","Bmp1","Ina","Irx5","Elovl7"
"Gpr27","Camk1g","Bmp4","Insig1","Jam2","Emid1"
"Gprc5a","Camk4","Bmp8b","Irs4","Kcnb2","Emx1"
"Gprc5b","Camta2","Bnc2","Irx1","Kcnd3","Enox1"
"Gpt2","Cap2","Bnipl","Irx3","Kcnj3","Entpd3"
"Gpx3","Capn1","Boc","Irx5","Kcnn2","Epb41l1"
"Gramd1b","Car13","Borcs6","Isl2","Kctd12b","Epdr1"
"Gsap","Card10","Brat1","Ism1","Kctd6","Epg5"
"Gucd1","Carf","Btbd19","Kbtbd3","Kdelr3","Esrra"
"Hbegf","Caskin2","Btbd6","Kcnc3","Kifc3","Esrrg"
"Hebp1","Casp7","Btd","Kcnd2","Klf11","Etv1"
"Hectd2","Casz1","Btg2","Kcnj3","Klf8","Etv4"
"Hexb","Catsper2","Bves","Kcnk2","Kptn","Etv5"
"Hey2","Cavin3","C030034I22Rik","Kcnq3","L1td1","Eva1b"
"Hhat","Cbarp","C130026L21Rik","Kctd12b","Lancl3","F2rl1"
"Hk1","Cblc","C1ql1","Kctd6","Lck","Faap100"
"Hmx2","Cbln2","C1qtnf4","Kif21b","Lcmt2","Fadd"
"Hmx3","Cbx4","C2cd2l","Kif26a","Ldoc1","Fahd2a"
"Hoxb2","Cbx7","C730034F03Rik","Kif6","Lfng","Fam114a1"
"Hpn","Cbx8","Cacna1c","Kif7","Limk1","Fam13a"
"Hpse2","Cc2d1a","Cacna2d1","Kitl","Lmf2","Fam13c"
"Hs3st1","Ccdc102a","Cacna2d3","Klf8","Lmo1","Fam171a2"
"Hs3st3a1","Ccdc125","Cacng4","Klhl14","Lmod1","Fam221a"
"Hs3st3b1","Ccdc126","Cacng7","Kptn","Lmx1a","Fam78b"
"Hs3st4","Ccdc150","Cadm2","L1td1","Lrp11","Fan1"
"Hsd11b2","Ccdc157","Cadm4","Lancl3","Lrrc57","Fancb"
"Hvcn1","Ccdc160","Cage1","Lcmt2","Lrrn4","Fat3"
"Hyls1","Ccdc162","Calcoco1","Lhpp","Lrsam1","Fbxl15"
"Id4","Ccdc163","Camk1g","Lifr","Lyn","Fbxo44"
"Iffo2","Ccdc181","Camk2n2","Lmf2","Lypd2","Fbxo6"
"Ifnlr1","Ccdc30","Camk4","Lmo1","Lypd6","Fdxr"
"Ift172","Ccdc39","Cap2","Lmo3","Mab21l2","Fgf10"
"Igfbp3","Ccdc51","Car12","Lrp11","Macrod1","Fgf15"
"Igsf11","Ccdc62","Car13","Lrrc7","Man1a","Fgf3"
"Ilvbl","Ccdc68","Car3","Lrrn4","Man1c1","Fgf4"
"Ina","Ccdc80","Carf","Lypd2","Mansc4","Fgf8"
"Inpp1","Ccdc82","Caskin2","Lypd6","Maob","Fgf9"
"Inpp4a","Cchcr1","Casp7","Lyrm1","Marveld3","Fgfbp1"
"Inpp5k","Ccl27a","Casz1","Mab21l2","Metrnl","Fhdc1"
"Insig1","Ccn2","Catsper2","Man1c1","Mfsd12","Fhod1"
"Irx1","Ccng1","Cbarp","Maob","Mical1","Fig4"
"Irx3","Cd164l2","Cblc","Map2","Mindy1","Fkbp14"
"Irx5","Cd1d1","Cbx4","Map7d3","Mindy2","Flnc"
"Ism1","Cd200","Cbx7","Marveld3","Mindy4","Flt1"
"Itpr2","Cd36","Cbx8","Masp1","Mir100hg","Fos"
"Jrk","Cd44","Cc2d1a","Mavs","Mir99ahg","Fosb"
"Kcna2","Cd46","Ccdc102a","Mblac2","Mlycd","Foxg1"
"Kcnb2","Cd59b","Ccdc122","Mcf2","Mme","Foxi2"
"Kcnj3","Cdc42bpg","Ccdc125","Mcoln1","Mmp2","Foxl2"
"Kcnk2","Cdc42ep3","Ccdc126","Mcrip2","Mn1","Foxp2"
"Kcnk5","Cdc42ep4","Ccdc150","Mecom","Mob3a","Fry"
"Kcnma1","Cdh13","Ccdc157","Mical1","Mocs3","Frzb"
"Kcnn2","Cdh6","Ccdc158","Mid1ip1","Mov10","Fzd4"
"Kcnq3","Cdh8","Ccdc160","Mindy4","Mpp2","Gabrb3"
"Kctd6","Cdk18","Ccdc163","Mir99ahg","Mtmr10","Gadd45b"
"Kdm1b","Cdk20","Ccdc181","Mllt6","Mxra8","Galm"
"Kif26b","Cdk5r1","Ccdc30","Mlycd","Myc","Galns"
"Kif6","Cdkn1a","Ccdc39","Mme","Mycl","Galnt13"
"Kif7","Cdr2l","Ccdc51","Mocs3","Myh14","Galnt18"
"Kitl","Cdyl2","Ccdc62","Mov10","Mylip","Gbx2"
"Klhl14","Celf4","Ccdc68","Mpp2","Myo1d","Gcnt1"
"Krt23","Cenpv","Ccdc73","Mss51","Myzap","Gdnf"
"Ksr2","Cep85l","Ccdc80","Mtfp1","Nab2","Ggcx"
"L3hypdh","Cfap206","Ccdc82","Mtx3","Nalcn","Gipc2"
"Lamc2","Cfap300","Ccdc85a","Myb","Napb","Gjb5"
"Lbh","Cfap47","Ccdc96","Myc","Nbl1","Gm266"
"Letmd1","Cfap69","Cchcr1","Mycl","Ndrg1","Gm38393"
"Lifr","Chmp4c","Ccl27a","Myh14","Necab2","Gm5577"
"Limk1","Chpf2","Ccn2","Myo1d","Nectin4","Gm5617"
"Lmx1a","Chst14","Ccnb1ip1","N4bp3","Neurog1","Gmppa"
"Lpar3","Chst5","Ccng1","Naa80","Nexn","Gna14"
"Lrmda","Chst7","Ccsap","Napb","Nfatc4","Gnao1"
"Lrp11","Chst8","Cd164l2","Napepld","Nkd1","Gng11"
"Lrp8","Chst9","Cd247","Nav3","Nmnat2","Gorasp1"
"Lrrc57","Chtf8","Cd36","Ncdn","Notch1","Gpam"
"Lrrc8c","Cisd3","Cd44","Ndufa4l2","Nrarp","Gpm6a"
"Lrrn4","Cish","Cd46","Necab2","Nrcam","Gpr137c"
"Lsamp","Cited1","Cda","Negr1","Nrtn","Gpr153"
"Lss","Ckb","Cdc42bpg","Nexn","Nrxn1","Gpr19"
"Luzp2","Clba1","Cdc42ep4","Nfatc4","Ntf3","Gpr27"
"Lyrm1","Clcn2","Cdh11","Ngly1","Ntng1","Gpr45"
"Maff","Cldn1","Cdh12","Nkx2-3","Nuak2","Gprc5a"
"Man1a","Cldn8","Cdh15","Nkx2-5","Nudt12","Gpsm3"
"Mansc4","Clec11a","Cdh20","Npas1","Numbl","Gpx3"
"Map2","Clic6","Cdh6","Nr1d2","Onecut2","Gramd1b"
"Marveld3","Clip2","Cdk18","Nr3c1","Opn3","Gsap"
"Mavs","Cln6","Cdkn1a","Nrcam","Osbpl2","Gucd1"
"Mboat1","Clrn1","Cdr2l","Nrg1","Otx1","Hacd4"
"Mcoln1","Clstn2","Cdyl2","Nrp1","Otx2","Hbegf"
"Mcrip2","Clstn3","Celf4","Nsun3","Ovol1","Hdac5"
"Mecom","Cltb","Cenpv","Ntf3","Pacsin3","Hebp1"
"Mettl24","Clu","Cep85l","Ntm","Parvb","Hexb"
"Mfsd6","Cnbd2","Cercam","Ntng1","Pax2","Hey2"
"Mgat4a","Cndp1","Cerk","Nuak2","Pax6","Hfm1"
"Mgll","Cngb3","Ces1d","Nxpe3","Pax7","Hhat"
"Micall1","Cnih2","Cfap300","Ofcc1","Pax8","Hk1"
"Mid1ip1","Cnksr1","Cfap43","Onecut2","Pbxip1","Hoxb2"
"Minar2","Cnnm4","Cfap47","Osbpl7","Pcdh9","Hpn"
"Mindy1","Cnp","Cfap54","Otx1","Pde10a","Hpse2"
"Mindy2","Cnr1","Cfap61","Otx2","Pdlim4","Hs1bp3"
"Mindy4","Cntln","Cfap74","Pacrg","Perp","Hs3st1"
"Mir100hg","Cntn1","Cfap77","Parvb","Pfkfb1","Hs3st3b1"
"Mitf","Cobl","Chadl","Pax2","Phlda3","Hsd17b14"
"Mllt6","Col11a1","Chmp4c","Pax6","Phyh","Hsdl2"
"Mn1","Col13a1","Chpf2","Pbxip1","Pias3","Hspa2"
"Mocs3","Col25a1","Chst10","Pcdh15","Pid1","Hspb8"
"Moxd1","Col26a1","Chst14","Pcdh9","Pitx1","Hvcn1"
"Mpc1","Col27a1","Chst15","Pcolce2","Pkp3","Hyls1"
"Mpped1","Col5a1","Chst7","Pcx","Pla2g4a","Id4"
"Mss51","Col5a2","Chst8","Pcyt1b","Plcd1","Iffo2"
"Mtmr10","Col9a1","Chsy3","Pde11a","Plcxd2","Ifnlr1"
"Mtx3","Col9a2","Chtf8","Pde7b","Pld3","Ift172"
"Mylip","Copz2","Cisd3","Pdp2","Plekhn1","Igfbp3"
"Myo5b","Coq10a","Cited1","Peg10","Plk2","Ikzf4"
"N4bp3","Coro2b","Ckb","Pex10","Plxna4","Il17d"
"Napepld","Cox15","Clba1","Pex11a","Plxnc1","Il17re"
"Ncdn","Cox6b2","Clcn1","Phf21b","Podn","Ildr1"
"Nckipsd","Cpeb1","Clcn2","Phyh","Pof1b","Ilvbl"
"Ndufa4l2","Cpeb2","Cldn10","Pif1","Pomt2","Inpp4a"
"Nefl","Cpeb3","Cldn23","Pigw","Pon2","Inpp4b"
"Nefm","Cpeb4","Cldn8","Pitx1","Porcn","Inpp5k"
"Negr1","Cped1","Cldn9","Pitx2","Pou4f1","Insig1"
"Nfe2l3","Cplane2","Clec11a","Pla2g6","Ppl","Iqsec2"
"Ngfr","Cplx2","Clic6","Pld3","Ppp1r16b","Irx1"
"Nkain2","Cpne5","Clip2","Plekhn1","Ppp2r2b","Irx3"
"Nkd1","Cpne8","Cln6","Plxnc1","Prdm1","Irx5"
"Nmnat2","Cpt1c","Clstn2","Pof1b","Prr36","Isl2"
"Notch1","Cptp","Clstn3","Poli","Prrg3","Ism1"
"Nphp3","Cpz","Cltb","Poll","Prss22","Itga1"
"Nr1d2","Cracr2b","Clu","Pomgnt2","Ptchd4","Itpr2"
"Nrarp","Crb2","Cmtr2","Postn","Ptprz1","Jcad"
"Nrcam","Creb3","Cnih2","Pou4f1","Pus7l","Jrk"
"Nrg1","Crebl2","Cnksr1","Ppic","Pvr","Kbtbd3"
"Nrp1","Crip1","Cnnm1","Ppm1e","Pwwp2b","Kcnb2"
"Nrtn","Crispld1","Cnnm4","Ppm1f","Pxylp1","Kcnj3"
"Nt5dc3","Crnde","Cnp","Ppp2r2b","Qprt","Kcnk2"
"Nudt12","Crtc2","Cnr1","Prdm1","Rab27b","Kcnma1"
"Nudt15","Cryab","Cntln","Prelid3a","Rab33b","Kcnn2"
