"Otic","Lens","Olfactory","Adeno","Trygem","Epi"
"Pde7b","Cul9","Cox15","Rbak","Rsph3b","Lck"
"Pdlim4","Cxcl14","Cox6b2","Rbfox1","Rtl4","Lcmt2"
"Pdp2","Cyb561a3","Cpeb2","Rbm12b2","Rtn4rl1","Ldlrad4"
"Peg10","Cyb5d1","Cpeb3","Rbm20","Runx1t1","Ldoc1"
"Pex10","Cyb5d2","Cpeb4","Rbm24","Rxra","Lfng"
"Pex5l","Cyb5rl","Cped1","Rdh11","S100a16","Lgi1"
"Phf21b","Cyp1b1","Cplane2","Rec114","S1pr2","Lifr"
"Phox2a","Cyp26b1","Cplx2","Recql4","Samd4","Limk1"
"Pid1","Cyp2j6","Cpm","Rel","Samd5","Lmf2"
"Pif1","Cyp4f16","Cpne2","Renbp","Scube3","Lmo2"
"Pigw","Cyp4f17","Cpne5","Rfng","Scx","Lmod1"
"Pik3ap1","Cyp7b1","Cpne8","Rftn1","Sdk2","Lmx1a"
"Pkd1","Cyth1","Cpt1c","Rgl2","Sec24d","Lrfn2"
"Pla2g6","D330041H03Rik","Cptp","Rgp1","Sema3e","Lrmda"
"Plcd1","D430041D05Rik","Cpz","Rnf150","Sema5b","Lrp11"
"Plcxd2","D6Wsu163e","Cracr2b","Rnf157","Serp2","Lrrc57"
"Plekhb2","Dact1","Crat","Rnf17","Sertad4","Lrrn4"
"Plod1","Dact3","Crb2","Robo3","Sfmbt2","Lrsam1"
"Plxna4","Dapl1","Creb3","Rps6kb2","Sgk1","Lurap1"
"Pomgnt2","Dbndd1","Creb3l4","Rsph3b","Sgms2","Luzp2"
"Pomt2","Dbndd2","Creld1","Rtl1","Sgtb","Lypd6"
"Pon2","Dbp","Crip1","Rtl4","Sh3bp2","Macrod1"
"Porcn","Dcc","Crispld1","Rundc1","Sh3rf3","Maff"
"Pou4f1","Dclk1","Crtc2","Runx1t1","Sipa1l2","Man1a"
"Ppic","Dclre1b","Cryab","Rxra","Six3","Man1c1"
"Ppl","Dcxr","Cryl1","Samd4","Six5","Mansc4"
"Ppm1e","Ddc","Cryzl2","Scarb2","Six6","Map2"
"Ppm1f","Ddias","Csf2ra","Sema3e","Slc12a4","Masp1"
"Ppp1r16b","Ddit3","Csgalnact2","Sertad4","Slc1a6","Mboat1"
"Ppp2r2b","Ddit4l","Csrnp1","Sgpp1","Slc25a20","Mcoln1"
"Prdm1","Ddx25","Csrnp2","Shisa6","Slc26a11","Mcrip2"
"Prelid3a","Decr2","Csrnp3","Shtn1","Slc30a4","Mecom"
"Prkn","Dennd6b","Csrp1","Sirt3","Slc38a7","Metrnl"
"Proser2","Derl3","Ctbs","Six3","Slc39a2","Mfsd13a"
"Prox1","Dffa","Ctns","Six5","Slc40a1","Mgat4a"
"Prr15","Dgkh","Ctsc","Six6","Slc7a11","Mical1"
"Prrg4","Dgkk","Ctsf","Slc12a9","Slc7a3","Mid1ip1"
"Ptp4a3","Dhrs3","Ctu1","Slc16a6","Slc7a7","Mindy1"
"Ptpre","Dhtkd1","Ctxn3","Slc1a3","Smagp","Mindy2"
"Ptprn2","Dhx34","Cul9","Slc1a4","Smoc2","Mllt6"
"Ptprt","Dio3","Cxcr4","Slc25a21","Smpd1","Mlycd"
"Ptprz1","Dip2a","Cyb561a3","Slc25a47","Sorcs3","Mmp2"
"Pus7l","Dkk1","Cyb5d1","Slc29a2","Sostdc1","Mn1"
"Pvr","Dkk3","Cyb5d2","Slc2a8","Sox3","Mob3a"
"Pygo1","Dlx2","Cyb5rl","Slc35e3","Sp5","Mov10"
"Rab39b","Dlx3","Cyp26a1","Slc38a7","Sp6","Mpp2"
"Ramp3","Dmbx1","Cyp2j6","Slc40a1","Spag16","Mss51"
"Rasgef1b","Dmpk","Cyp4f16","Slc43a1","Spink10","Mtm1"
"Rbak","Dmrt3","Cyp4f17","Slc5a3","Sptlc3","Mtmr10"
"Rbm12b2","Dmrta2","Cyp7b1","Slc7a1","Srcin1","Mtx3"
"Rbm24","Dnaaf4","Cysltr1","Slc7a3","St6gal2","Mxd1"
"Rcan2","Dnah7b","Cyth1","Slx4","St6galnac2","Myc"
"Rcan3","Dnah8","D17H6S53E","Sncaip","Stambp","Mycl"
"Rdh11","Dnajb3","D330041H03Rik","Sorcs1","Stap2","Mylip"
"Rec114","Dnajc12","D430041D05Rik","Sox21","Stard8","Myo1d"
"Recql4","Dnajc16","D6Wsu163e","Sox3","Stat6","Myo5b"
"Ret","Dnajc4","D930020B18Rik","Spag16","Stc2","Nab2"
"Rftn1","Dnajc6","Dact1","Spon1","Stmn2","Napb"
"Rgcc","Dnal1","Dact3","Spred3","Ston1","Nbl1"
"Rgl3","Dnase1l1","Dapp1","Srcin1","Stx1a","Ndrg1"
"Rgs2","Dnm1","Dbndd1","St3gal4","Syn2","Negr1"
"Rgs20","Dock8","Dbndd2","St6gal2","Syt11","Neurog2"
"Rgs6","Dok4","Dbp","Stc2","Syt7","Nexn"
"Rhbdf1","Dok6","Dcc","Stk17b","Syt9","Nfatc4"
"Rin3","Dpf3","Dclk1","Stmn2","Taf1c","Ngfr"
"Rmc1","Dph2","Dclre1b","Ston1","Tafa2","Ngly1"
"Rnd2","Dpp6","Dcxr","Stox1","Tagln","Nkain2"
"Rnf125","Dpp7","Ddc","Susd1","Tal2","Nkd1"
"Rnf150","Dpyd","Ddias","Svip","Taok3","Nkx2-3"
"Rnf17","Dscam","Ddit3","Syndig1","Tbc1d8","Nkx2-6"
"Rnf215","Dtx1","Ddit4l","Syt11","Tbc1d8b","Nmnat2"
"Rtkn","Dusp18","Ddx25","Syt7","Tcea3","Notch1"
"Runx1t1","Dusp28","Decr2","Tac1","Tceal5","Nphp3"
"Runx2","Dusp3","Dennd1c","Taf1c","Tdrp","Nrarp"
"Rxra","Dusp5","Dennd6b","Tafa2","Tead4","Nrg1"
"Ryr2","E2f2","Depdc7","Tal2","Tex15","Nrp1"
"S100a1","Ebf3","Deptor","Tbc1d8b","Tfap2b","Nrtn"
"S100a16","Ebf4","Dffa","Tbx20","Tgfb2","Nrxn1"
"S1pr2","Edil3","Dgat2","Tbx3","Tgfbr3","Nt5dc3"
"Scarb2","Edn1","Dgka","Tcea3","Thrb","Ntf3"
"Sec24d","Edn3","Dgkh","Tceal5","Thsd7b","Ntng1"
"Sema5b","Ednra","Dgkk","Tdrd7","Tiam2","Ntng2"
"Serinc5","Eef2k","Dgkq","Tdrkh","Tinagl1","Nuak2"
"Serp2","Efemp1","Dhtkd1","Tead4","Tmem121","Ofcc1"
"Serpinf1","Efemp2","Dhx34","Tex15","Tmem132c","Onecut2"
"Sgk1","Efhc2","Dip2a","Tfap2b","Tmem14a","Opn3"
"Sgpp1","Efna1","Dkk1","Tgfb2","Tmem17","Osbpl2"
"Sgtb","Efnb3","Dleu7","Tgfbr3","Tmem176b","Osbpl7"
"Sh2b2","Egf","Dlg2","Thbs3","Tmem42","Otx2"
"Sh3bp2","Egfem1","Dlgap1","Thrb","Tmem79","Pacsin3"
"Sh3rf3","Egfl6","Dll1","Thsd7a","Tmem88","Pax2"
"Shisa6","Egfr","Dlx1","Tlx1","Tmem94","Pax7"
"Sipa1l2","Egr1","Dlx2","Tm7sf2","Tmem9b","Pax8"
"Sirt3","Egr2","Dlx3","Tmem121","Tmtc1","Pbxip1"
"Slc12a4","Egr3","Dmbx1","Tmem132c","Tnfrsf10b","Pcdh15"
"Slc12a9","Ehd3","Dmc1","Tmem14a","Tnip1","Pcolce2"
"Slc15a3","Eif4ebp3","Dmrt1","Tmem170b","Tnk1","Pcsk6"
"Slc16a6","Eif5a2","Dmrt3","Tmem176b","Top1mt","Pcx"
"Slc1a3","Elac1","Dmrta1","Tmem18","Tpcn1","Pde10a"
"Slc1a4","Elavl4","Dmrta2","Tmem42","Tradd","Pde11a"
"Slc25a19","Elf3","Dmtn","Tmem69","Traf3ip2","Pde7b"
"Slc25a21","Elk3","Dnaaf3","Tmem88","Trim13","Pdlim3"
"Slc25a22","Elmod3","Dnaaf4","Tmem94","Trim3","Pdlim4"
"Slc26a9","Elovl4","Dnah11","Tmem98","Trim68","Pdzrn4"
"Slc27a6","Elovl7","Dnah2","Tmtc1","Tspan18","Peg10"
"Slc29a2","Emc9","Dnah7b","Tnip1","Tspear","Perp"
"Slc2a8","Emid1","Dnajb3","Tnk1","Ttll7","Pex10"
"Slc30a4","Eml6","Dnajc12","Tnnt1","Tubb4a","Phf21b"
"Slc35e3","Emx1","Dnajc16","Tomm40l","Uckl1","Phlda3"
"Slc40a1","Endod1","Dnajc4","Top1mt","Upk3bl","Phox2a"
"Slc43a1","Enox1","Dnajc6","Tpcn1","Upp1","Phyh"
"Slc46a1","Entpd5","Dnal1","Trib2","Upp2","Pid1"
"Slc4a8","Epb41l1","Dnase1l1","Trim3","Usp13","Pif1"
"Slc5a3","Epdr1","Dnm1","Trim68","Usp2","Pigc"
"Slc6a17","Epg5","Doc2a","Trpc5","Vamp2","Pigo"
"Slc7a1","Epha5","Dock10","Tshz2","Vasn","Pink1"
"Slc7a11","Epha7","Dock3","Tspan15","Vgll3","Pitx1"
"Slc7a3","Epm2a","Dok2","Tubb4a","Vldlr","Pkd1"
"Slco3a1","Epn3","Dok6","Txndc16","Vps8","Pla2g4a"
"Slx1b","Eps8l2","Dpf1","Unc13c","Vsnl1","Pla2g6"
"Smagp","Erbb4","Dph1","Unc5d","Vwa5a","Plcd1"
"Smoc2","Esrra","Dph2","Upk3bl","Vwc2","Plcxd2"
"Smox","Esrrg","Dpp6","Upp1","Wdr45","Pld3"
"Smtn","Ets1","Dpp7","Urgcp","Wdr47","Plekhn1"
"Sncaip","Etv1","Dpyd","Usp2","Wdr62","Plk2"
"Snx25","Eva1a","Dpys","Vegfc","Wnt4","Plod1"
"Sorcs1","Eva1b","Dpysl4","Vgll2","Wsb2","Plxna4"
"Sostdc1","Evc","Dscam","Vldlr","Wscd1","Pof1b"
"Sox10","Evi5l","Dtx1","Vwc2","Zbtb45","Poli"
"Sox21","Exd1","Dtx3l","Wdr17","Zfand4","Poll"
"Sox3","Exoc8","Dusp14","Wnt4","Zfp111","Polm"
"Sp5","Ezh1","Dusp18","Xaf1","Zfp119a","Polrmt"
"Sp9","F3","Dusp23","Xkr5","Zfp319","Pomgnt2"
"Spink10","Faah","Dusp28","Ybx2","Zfp40","Pomk"
"Spock1","Faap100","Dusp3","Yod1","Zfp51","Pomt1"
"Spon1","Faap24","Dusp5","Zbtb45","Zfp57","Pon2"
"Spred3","Fadd","E2f2","Zdhhc24","Zfp597","Pou4f1"
"Spry4","Fahd2a","Ebf3","Zfp111","Zfp626","Ppic"
"Sptlc3","Fam114a1","Ebf4","Zfp202","Zfp703","Ppip5k1"
"Ss18l1","Fam13a","Echdc3","Zfp40","Zfp804b","Ppl"
"St3gal1","Fam13c","Ecm2","Zfp563","Zfp811","Ppm1f"
"St3gal4","Fam171a2","Eda2r","Zfp57","Zfp9","Ppp1r14c"
"St6gal2","Fam174b","Edn3","Zfp597","Zfp948","Ppp1r16b"
"Stard8","Fam219a","Ednra","Zfp61","Zfp959","Prdm1"
"Stard9","Fam221a","Eef2k","Zfp626","Zfp983","Prkaa2"
"Stat2","Fam222a","Efemp2","Zfp653","Zfp984","Prkn"
"Stat5b","Fam227a","Efhb","Zfp667","Zfpm1","Proser2"
"Stc2","Fam229b","Efhc2","Zfp715","Zswim9","Prr36"
"Stk10","Fam241a","Efnb3","Zfp72",NA,"Prrg3"
"Stmn2","Fam53b","Egfem1","Zfp775",NA,"Ptp4a3"
"Stx1a","Fam72a","Egfr","Zfp940",NA,"Ptpre"
"Sult4a1","Fam78b","Egr1","Zfp948",NA,"Ptprt"
"Susd1","Fam83f","Egr2","Zfp951",NA,"Ptprz1"
"Syt9","Fam83g","Egr3","Zfp984",NA,"Pvr"
"Taf1c","Fan1","Ehd3","Zfpm1",NA,"Pwwp2b"
"Tagln3","Fancb","Eif4ebp3","Znfx1",NA,"Qprt"
"Taok3","Fancf","Eif5a2","Zscan29",NA,"Rab27b"
"Tbc1d8","Fancg","Elac1","Zswim9",NA,"Rab30"
"Tbx1","Fastkd5","Elavl4",NA,NA,"Rab33b"
"Tbx2","Fat3","Elf3",NA,NA,"Rab38"
"Tcea3","Fat4","Elk3",NA,NA,"Rasgef1b"
"Tep1","Fbln7","Elmod3",NA,NA,"Rasl11b"
"Tex15","Fbn1","Elovl4",NA,NA,"Rbak"
"Tgfbr2","Fbxl15","Elovl7",NA,NA,"Rbfox1"
"Tiam2","Fbxo27","Emid1",NA,NA,"Rbm12b2"
"Tmc6","Fbxo4","Eml6",NA,NA,"Rbm20"
"Tmed8","Fbxo44","Emx1",NA,NA,"Rbmxl2"
"Tmeff2","Fdxr","Emx2",NA,NA,"Rcan2"
"Tmem121","Fgf12","Endod1",NA,NA,"Rcan3"
"Tmem17","Fgf9","Enkur",NA,NA,"Rdh11"
"Tmem170b","Fgfbp3","Eno4",NA,NA,"Rec114"
"Tmem18","Fgfr3","Enox1",NA,NA,"Recql4"
"Tmem218","Fgfrl1","Entpd3",NA,NA,"Renbp"
"Tmem37","Fhdc1","Entpd5",NA,NA,"Rftn1"
"Tmem50b","Fhod1","Eogt",NA,NA,"Rgcc"
"Tmem59l","Fig4","Epb41l1",NA,NA,"Rgl2"
"Tmem98","Fitm2","Epdr1",NA,NA,"Rgl3"
"Tmod1","Fkbp14","Epg5",NA,NA,"Rgp1"
"Tnfaip6","Fkbp1b","Epha3",NA,NA,"Rgs2"
"Tnfrsf10b","Fkbp7","Epha5",NA,NA,"Rgs6"
"Tnik","Flrt2","Epha7",NA,NA,"Rhbdf1"
"Tomm40l","Flt1","Epm2a",NA,NA,"Rin3"
"Traf3ip2","Folr1","Epn3",NA,NA,"Rnf150"
"Trdmt1","Fos","Eps8l1",NA,NA,"Rnf17"
"Trib2","Fosb","Eps8l2",NA,NA,"Rnf215"
"Tril","Foxg1","Erap1",NA,NA,"Rph3al"
"Trim13","Foxi2","Eras",NA,NA,"Rps6kb2"
"Trim25","Foxj2","Erbb4",NA,NA,"Rsph3b"
"Tshz2","Foxp2","Ermn",NA,NA,"Rtl4"
"Tshz3","Fpgt","Esrp2",NA,NA,"Runx2"
"Tspan15","Frmd3","Esrra",NA,NA,"Rxra"
"Tspan18","Frmpd3","Esrrg",NA,NA,"S100a16"
"Tubb6","Fry","Etv1",NA,NA,"S1pr2"
"Txndc16","Fstl4","Etv4",NA,NA,"Samd4"
"Uckl1","Fuom","Etv5",NA,NA,"Samd5"
"Unc13c","Fuz","Eva1a",NA,NA,"Scarb2"
"Unc5d","Fzd4","Evc",NA,NA,"Scube3"
"Upp1","Fzd5","Evi5l",NA,NA,"Scx"
"Upp2","Gaa","Exoc8",NA,NA,"Sec24d"
"Usp13","Gabrg3","Ezh1",NA,NA,"Sema3e"
"Usp43","Gad2","F2rl1",NA,NA,"Sema5b"
"Usp51","Gadd45b","F3",NA,NA,"Serp2"
"Vamp2","Gadd45g","Faah",NA,NA,"Serpinb6b"
"Vasn","Galm","Faap100",NA,NA,"Sgcb"
"Vps8","Galns","Faap24",NA,NA,"Sgk1"
"Vwa5a","Galnt14","Fadd",NA,NA,"Sgpp1"
"Wdr17","Galnt16","Fahd2a",NA,NA,"Sgtb"
"Wscd1","Galnt17","Fam107a",NA,NA,"Sh3bp2"
"Xaf1","Galnt18","Fam114a1",NA,NA,"Sh3rf3"
"Xkr5","Gamt","Fam13a",NA,NA,"Shisa6"
"Zfand4","Gas7","Fam13c",NA,NA,"Sipa1l2"
"Zfp119a","Gatm","Fam149a",NA,NA,"Sirt3"
"Zfp319","Gcc1","Fam161b",NA,NA,"Six5"
"Zfp61","Gchfr","Fam171a2",NA,NA,"Slc12a4"
"Zfp623","Gdap2","Fam174b",NA,NA,"Slc12a9"
"Zfp653","Gdf6","Fam178b",NA,NA,"Slc15a3"
"Zfp703","Gdnf","Fam219a",NA,NA,"Slc16a6"
"Zfp715","Gdpd5","Fam222a",NA,NA,"Slc1a3"
"Zfp72","Gdpgp1","Fam227a",NA,NA,"Slc25a19"
"Zfp775","Ggcx","Fam228b",NA,NA,"Slc25a20"
"Zfp940","Ggt1","Fam229b",NA,NA,"Slc25a21"
"Zfp984","Gimap9","Fam234b",NA,NA,"Slc26a11"
"Zfpm1","Gipc2","Fam241a",NA,NA,"Slc27a6"
"Znfx1","Gjb5","Fam53b",NA,NA,"Slc29a2"
NA,"Glb1l","Fam72a",NA,NA,"Slc2a8"
NA,"Gli1","Fam78b",NA,NA,"Slc30a4"
NA,"Glis1","Fam83g",NA,NA,"Slc35e3"
NA,"Glrb","Fam83h",NA,NA,"Slc38a7"
NA,"Gm11110","Fan1",NA,NA,"Slc40a1"
NA,"Gm12258","Fancb",NA,NA,"Slc43a1"
NA,"Gm14295","Fancf",NA,NA,"Slc4a5"
NA,"Gm14305","Fancg",NA,NA,"Slc5a3"
NA,"Gm266","Fastkd5",NA,NA,"Slc7a1"
NA,"Gm2a","Fat3",NA,NA,"Slc7a11"
NA,"Gm3696","Fbn1",NA,NA,"Slc7a3"
NA,"Gm38393","Fbxl15",NA,NA,"Slco3a1"
NA,"Gm5141","Fbxo27",NA,NA,"Slx4"
NA,"Gm527","Fbxo32",NA,NA,"Smagp"
NA,"Gm5577","Fbxo4",NA,NA,"Smoc2"
NA,"Gm5617","Fbxo44",NA,NA,"Smpd1"
NA,"Gm6710","Fbxo6",NA,NA,"Smtn"
NA,"Gm6712","Fdxr",NA,NA,"Sncaip"
NA,"Gm9922","Fezf1",NA,NA,"Socs3"
NA,"Gm9958","Fgf10",NA,NA,"Sorcs1"
NA,"Gmip","Fgf12",NA,NA,"Sostdc1"
NA,"Gmppa","Fgf14",NA,NA,"Sox21"
NA,"Gmpr","Fgf16",NA,NA,"Sox3"
NA,"Gnao1","Fgf17",NA,NA,"Sp5"
NA,"Gne","Fgf3",NA,NA,"Sp6"
NA,"Gng11","Fgf5",NA,NA,"Spag16"
NA,"Gorasp1","Fgf8",NA,NA,"Spink10"
NA,"Gpam","Fgf9",NA,NA,"Spred3"
NA,"Gpd1l","Fgfbp3",NA,NA,"Spry4"
NA,"Gpm6a","Fgfrl1",NA,NA,"Sptb"
NA,"Gpr137","Fhdc1",NA,NA,"Sptlc3"
NA,"Gpr137c","Fhod1",NA,NA,"Srcin1"
NA,"Gpr153","Fig4",NA,NA,"St3gal1"
NA,"Gpr161","Fitm2",NA,NA,"St3gal4"
NA,"Gpr18","Fkbp14",NA,NA,"St6galnac2"
NA,"Gpr19","Fkbp1b",NA,NA,"Stambp"
NA,"Gpr45","Flrt2",NA,NA,"Stap2"
NA,"Gprc5a","Fos",NA,NA,"Stard8"
NA,"Gprc5b","Fosb",NA,NA,"Stard9"
NA,"Gpt2","Fosl2",NA,NA,"Stat5b"
NA,"Gpx3","Foxa2",NA,NA,"Stbd1"
NA,"Gramd1b","Foxe1",NA,NA,"Stc1"
NA,"Gramd1c","Foxg1",NA,NA,"Stc2"
NA,"Grina","Foxi2",NA,NA,"Stk11ip"
NA,"Gsn","Foxp2",NA,NA,"Stmn2"
NA,"Gstk1","Foxred2",NA,NA,"Ston1"
NA,"Gstm1","Fpgt",NA,NA,"Stx1a"
NA,"Gstm2","Frmd3",NA,NA,"Susd1"
NA,"Gstm4","Fry",NA,NA,"Syn2"
NA,"Gstm7","Fsip1",NA,NA,"Syt9"
NA,"Gtf2ird2","Fuom",NA,NA,"Tafa2"
NA,"Gucd1","Fut4",NA,NA,"Tagln"
NA,"H2-Ab1","Fuz",NA,NA,"Taok3"
NA,"H2-DMa","Fzd4",NA,NA,"Tbc1d8"
NA,"H2-Q4","Fzd5",NA,NA,"Tbc1d8b"
NA,"H2-T22","Gaa",NA,NA,"Tcea3"
NA,"Hacd4","Gabra3",NA,NA,"Tceal5"
NA,"Hacl1","Gabra4",NA,NA,"Tdrkh"
NA,"Hap1","Gabrb3",NA,NA,"Tdrp"
NA,"Hbegf","Gad1",NA,NA,"Tead4"
NA,"Hcfc2","Gad2",NA,NA,"Tep1"
NA,"Hdac11","Gadd45b",NA,NA,"Tfap2b"
NA,"Hdac5","Gadd45g",NA,NA,"Tgfb2"
NA,"Hdhd3","Gal3st4",NA,NA,"Tgfbr3"
NA,"Hebp1","Galm",NA,NA,"Thbs3"
NA,"Hebp2","Galns",NA,NA,"Thsd7b"
NA,"Hectd3","Galnt13",NA,NA,"Tiam2"
NA,"Heg1","Galnt14",NA,NA,"Timp3"
NA,"Hemk1","Galnt16",NA,NA,"Tinagl1"
NA,"Hexb","Galnt17",NA,NA,"Tmcc2"
NA,"Hfm1","Galnt18",NA,NA,"Tmed8"
NA,"Hhat","Gamt",NA,NA,"Tmem100"
NA,"Hhip","Gas7",NA,NA,"Tmem121"
NA,"Hif3a","Gatm",NA,NA,"Tmem132c"
NA,"Hk1","Gca",NA,NA,"Tmem14a"
NA,"Hmx1","Gcc1",NA,NA,"Tmem17"
NA,"Hpn","Gchfr",NA,NA,"Tmem170b"
NA,"Hs1bp3","Gck",NA,NA,"Tmem176b"
NA,"Hs3st1","Gcnt1",NA,NA,"Tmem218"
NA,"Hsdl2","Gcnt7",NA,NA,"Tmem241"
NA,"Hspb1","Gdap2",NA,NA,"Tmem37"
NA,"Hspb2","Gdpd5",NA,NA,"Tmem38a"
NA,"Hspb8","Gdpgp1",NA,NA,"Tmem42"
NA,"Htatip2","Ggcx",NA,NA,"Tmem50b"
NA,"Htra1","Ghdc",NA,NA,"Tmem79"
NA,"Hykk","Gipc2",NA,NA,"Tmem88"
NA,"Hyls1","Glb1l",NA,NA,"Tmem94"
NA,"Iba57","Gli1",NA,NA,"Tmem98"
NA,"Id4","Glis1",NA,NA,"Tmem9b"
NA,"Iffo2","Glrb",NA,NA,"Tnfrsf10b"
NA,"Ifit2","Gls2",NA,NA,"Tnip1"
NA,"Ifitm7","Gm10053",NA,NA,"Tnk1"
NA,"Ifngr1","Gm10135",NA,NA,"Tomm40l"
NA,"Ifngr2","Gm11110",NA,NA,"Tpcn1"
NA,"Ifnlr1","Gm12258",NA,NA,"Trib2"
NA,"Ift172","Gm14295",NA,NA,"Tril"
NA,"Igdcc4","Gm14296",NA,NA,"Trim13"
NA,"Igsf10","Gm14305",NA,NA,"Trim25"
NA,"Ikzf4","Gm14418",NA,NA,"Trim3"
NA,"Il11ra1","Gm15155",NA,NA,"Trim36"
NA,"Il13ra1","Gm266",NA,NA,"Trpm6"
NA,"Il15","Gm2897",NA,NA,"Tshz2"
NA,"Il17re","Gm29394",NA,NA,"Tspan15"
NA,"Il20rb","Gm2974",NA,NA,"Tspan18"
NA,"Il3ra","Gm2a",NA,NA,"Tspan2"
NA,"Ildr1","Gm3164",NA,NA,"Ttbk2"
NA,"Ildr2","Gm3173",NA,NA,"Tubb4a"
NA,"Ilvbl","Gm3248",NA,NA,"Tubb6"
NA,"Inafm1","Gm3411",NA,NA,"Ubiad1"
NA,"Inpp1","Gm3512",NA,NA,"Uckl1"
NA,"Inpp4a","Gm3636",NA,NA,"Upp1"
NA,"Inpp4b","Gm3667",NA,NA,"Upp2"
NA,"Inpp5e","Gm3696",NA,NA,"Urgcp"
NA,"Inpp5k","Gm3739",NA,NA,"Usp13"
NA,"Insig1","Gm38393",NA,NA,"Usp2"
NA,"Insyn2b","Gm5141",NA,NA,"Usp51"
NA,"Iqck","Gm5148",NA,NA,"Vamp2"
NA,"Iqsec2","Gm5577",NA,NA,"Vasn"
NA,"Irak2","Gm5617",NA,NA,"Vldlr"
NA,"Irf8","Gm6710",NA,NA,"Vps8"
NA,"Irf9","Gm6712",NA,NA,"Vwa5a"
NA,"Irgq","Gm8237",NA,NA,"Vwc2"
NA,"Irs4","Gm9922",NA,NA,"Wdr17"
NA,"Irx1","Gmfg",NA,NA,"Wdr45"
NA,"Irx3","Gmip",NA,NA,"Wdr47"
NA,"Irx5","Gmppa",NA,NA,"Wdr62"
NA,"Islr2","Gmpr",NA,NA,"Wnt4"
NA,"Itgb6","Gna14",NA,NA,"Wsb2"
NA,"Itpkb","Gnao1",NA,NA,"Wscd1"
NA,"Itpkc","Gne",NA,NA,"Xkr5"
NA,"Itpr2","Gng11",NA,NA,"Yod1"
NA,"Itpripl1","Gorasp1",NA,NA,"Zfand4"
NA,"Jag2","Gpam",NA,NA,"Zfp111"
NA,"Jam2","Gpd1l",NA,NA,"Zfp319"
NA,"Jdp2","Gpm6a",NA,NA,"Zfp40"
NA,"Jrk","Gpr137",NA,NA,"Zfp51"
NA,"Kat2b","Gpr137c",NA,NA,"Zfp57"
NA,"Katnal1","Gpr160",NA,NA,"Zfp597"
NA,"Kbtbd3","Gpr161",NA,NA,"Zfp61"
NA,"Kbtbd7","Gpr18",NA,NA,"Zfp626"
NA,"Kcnb2","Gpr19",NA,NA,"Zfp653"
NA,"Kcnc3","Gpr27",NA,NA,"Zfp703"
NA,"Kcnd2","Gpr45",NA,NA,"Zfp707"
NA,"Kcnd3","Gprc5a",NA,NA,"Zfp715"
NA,"Kcnh2","Gprc5b",NA,NA,"Zfp72"
NA,"Kcnip1","Gpsm3",NA,NA,"Zfp775"
NA,"Kcnip4","Gpt2",NA,NA,"Zfp804b"
NA,"Kcnj13","Gpx3",NA,NA,"Zfp811"
NA,"Kcnk2","Gramd1b",NA,NA,"Zfp940"
NA,"Kcnk5","Gramd1c",NA,NA,"Zfp948"
NA,"Kcnma1","Grhl3",NA,NA,"Zfp951"
NA,"Kcnn2","Grina",NA,NA,"Zfp959"
NA,"Kctd11","Grm7",NA,NA,"Zfpm1"
NA,"Kctd6","Gsc",NA,NA,"Zfr2"
NA,"Kctd8","Gstm1",NA,NA,"Znfx1"
NA,"Kdelr3","Gstt3",NA,NA,"Zswim9"
NA,"Kdm1b","Gtf2ird2",NA,NA,NA
NA,"Kdm8","Gucd1",NA,NA,NA
NA,"Khdrbs2","H2-DMa",NA,NA,NA
NA,"Khk","H2-Q4",NA,NA,NA
NA,"Kif21b","H2-T22",NA,NA,NA
NA,"Kif26a","Hacd4",NA,NA,NA
NA,"Kif27","Hacl1",NA,NA,NA
NA,"Kif3c","Hap1",NA,NA,NA
NA,"Kif6","Hba-x",NA,NA,NA
NA,"Kif7","Hbb-bh1",NA,NA,NA
NA,"Kifc3","Hbb-y",NA,NA,NA
NA,"Kitl","Hbegf",NA,NA,NA
NA,"Klc4","Hcfc2",NA,NA,NA
NA,"Klf11","Hcn1",NA,NA,NA
NA,"Klf15","Hdac11",NA,NA,NA
NA,"Klf2","Hdac5",NA,NA,NA
NA,"Klf4","Hdhd3",NA,NA,NA
NA,"Klf8","Hebp1",NA,NA,NA
NA,"Klhdc8b","Hebp2",NA,NA,NA
NA,"Klhl25","Hectd2",NA,NA,NA
NA,"Kptn","Hectd3",NA,NA,NA
NA,"Krt14","Hecw1",NA,NA,NA
NA,"Ksr1","Heg1",NA,NA,NA
NA,"Ksr2","Hemk1",NA,NA,NA
NA,"Kyat1","Herc6",NA,NA,NA
NA,"Kyat3","Hes5",NA,NA,NA
NA,"Kynu","Hesx1",NA,NA,NA
NA,"L1td1","Hexb",NA,NA,NA
NA,"L3hypdh","Hey2",NA,NA,NA
NA,"Lacc1","Hfm1",NA,NA,NA
NA,"Lama2","Hhat",NA,NA,NA
NA,"Lamb2","Hhip",NA,NA,NA
NA,"Lbh","Hif3a",NA,NA,NA
NA,"Lck","Hivep3",NA,NA,NA
NA,"Lcmt2","Hk1",NA,NA,NA
NA,"Ldlrad4","Hpn",NA,NA,NA
NA,"Ldoc1","Hpse2",NA,NA,NA
NA,"Lekr1","Hs1bp3",NA,NA,NA
NA,"Letm2","Hs3st1",NA,NA,NA
NA,"Letmd1","Hs3st3a1",NA,NA,NA
NA,"Lfng","Hs3st3b1",NA,NA,NA
