cionas_TF
Pik3c3
Etv4
Ltf
Skor2
Deaf1
Zbtb8b
Polr3a
Cpsf4
Uqcrb
Setdb1
Snrpb2
Trim33
Rab18
Msx1
Tulp1
Tcf7
Pou4f2
Frem1
Tcf3
Phf21a
Las1l
Zbtb34
Tbl1xr1
E2f4
Hspa5
Tsnax
E2f8
Hdac8
Kat7
Zscan29
Ascl1
Dbp
Zbtb10
Dusp22
Hdac2
Stat5b
Tmem33
Thap1
Lrrfip1
E2f2
Tfeb
Nr2c1
Sfpq
Gtf2a2
Spag7
Mbd4
Atoh1
Sp7
Pdcd11
Rab14
Mafk
Neurog2
Kdm2a
Cstf2
Xbp1
Thap12
Ikzf5
Nf1
Irf5
Cers6
Sp8
Zbtb6
Hmg20b
Snrnp70
Nr1h2
Creb3l2
Mllt10
Brf1
Kmt2b
Mycn
Twist1
Ssrp1
Foxf1
Nfya
Hes2
Smad7
Emx1
Chd1
Bptf
Rb1
Ewsr1
Xpa
Zdhhc24
Sohlh2
Zbtb46
Sft2d1
Ctnnb1
Msi1
Elf2
Taf1a
Gtf2a1l
Nr4a1
Dis3
Dazap1
Thoc2
Psmc2
Rbpj
Zfhx3
Mettl14
Ncbp2
Atf1
Zfx
Zfp2
Taf1
Zkscan8
Zmiz1
E2f3
Grhl2
Hmgb3
Gpam
Nfyc
Creb3l1
Hif3a
Dnajc21
Zxdc
Lef1
Kdm5d
Zbtb20
Foxg1
Cdx2
Nfxl1
Klf10
Eef1d
Arid3c
Rbbp5
Ilf3
Rorc
Atf4
Mbnl2
Mapk1
Klf6
Chd2
Mbd2
Spats2
Tbx3
Foxi3
Irx5
Nfe2l2
Nr5a1
Foxh1
Stat5a
Nap1l1
Kmt2a
Plg
Ep300
Zxdb
Tfam
Cycs
Arg2
Nup107
Nnt
Ybx1
Traf4
Pitx2
Gtf2f1
Vps4b
Foxj2
Zfp37
Nr4a3
Rbm42
Relb
Rxra
Dnmt1
Prdm15
Sim2
Drap1
Pck2
Taf9
Hmgb4
Rxrg
Abcf2
Otx1
Usp39
Zfp69
Gatad2a
Rad21
Rlf
Psma6
Ubtf
Smad3
Foxo4
Ccdc25
Tbx2
E2f7
Rbm7
Cers2
Mrpl2
Pold2
Zfhx2
Brca1
Usf2
Snd1
Rbms1
Erf
Etv1
Ctcf
Nuak2
Rnf138
Ak6
Atf6b
Smad9
Pou2f2
Rnaseh2c
Egr2
Tagln2
Brf2
Cnot4
Sp2
Anxa11
Rxrb
Taf6
Foxo3
Srrm3
Gpd1
Dlx5
Pbx1
Cdx4
Ncor1
Rarb
Cptp
Foxj1
Zbtb44
Kif22
Stau2
Kdm2b
Ing4
Dlx2
Timm44
Mlx
Cnot6
Rreb1
Ppargc1a
Eif5a2
Gabpa
Polr3g
Sox11
Hif1a
Sin3a
Srf
Klf4
Erg
Cebpg
Pax1
Larp4
Vax1
Smarca5
Klf2
Myc
Mthfd1
Aco1
Six2
Creb5
Hdac3
Ppard
Arg1
Grhl1
Exosc3
Grhpr
Apex2
Mtf2
Tpi1
Nr1i3
Pax2
Ilf2
Mlxipl
Cbx3
Pou2f1
Hltf
Irx2
Tsn
Atoh8
Gtf2b
Foxl1
Hcfc1
Pax8
Srebf1
Mlxip
Odc1
Sall3
Gtpbp6
Nelfa
Cyb5r1
Zgpat
Sall1
Cnot3
Hnrnpul1
Pgam2
Nono
Klf7
Mex3c
Boll
Id2
Nfkb2
Psmd12
Gfi1b
Prkaa1
Mta3
Ptcd1
Suz12
Zhx2
Nfatc2
Ash2l
Pick1
Ctbp1
Tfap4
Nr2c2
Asap3
Sf3b1
Myrf
Creb3l4
Neurog1
Cfl2
Foxn1
Smarca4
Zbtb14
Foxq1
Sp9
Zbtb11
Ube2k
Prdm9
Mxd3
Dmc1
Ccnt2
Emx2
Gli1
Tcf4
Foxk1
Mybl1
Map4k2
Irx6
Bach1
Utp18
Etfb
Ncald
Grhl3
Tcf12
Isl1
Bax
Arid3a
Adarb1
Hcls1
Trip10
Rufy3
Trim21
Prdm10
Hnrnpll
Mxi1
Mef2a
Tfcp2
Med30
Mtf1
Paxip1
Pole4
Ppp5c
Pkm
Carf
Cers3
Isl2
Ctbp2
Borcs8
Creb3
Pknox2
Fank1
Dr1
Zbtb41
Larp1
Rbfox2
Nelfb
Tfe3
Pitx1
Got1
Nfe2l1
Zmat2
Mettl3
Arnt
Mef2d
Gtf2a1
Sp3
Myb
Zdhhc15
Esrp2
R3hdm2
Ehf
Tfap2e
Dhx36
Purg
Hdac1
Eef1akmt3
Nkx2-5
Ssbp3
Foxj3
Zscan22
Rbm3
Cbfa2t2
Rpl6
Rab2a
Smad4
Gabpb1
Spr
Meis3
Tbx4
Ruvbl1
Cat
Hmgb1
Rel
Hoxd8
Ets1
Mitf
Zbtb7a
Sox12
Irx4
Noc2l
Zfp92
Cdk2ap1
Nfe2
Zfp90
Ing3
Nelfe
Six1
Irx3
Zhx3
Zfpm1
Stat6
Tead3
Tfdp2
Dpf1
Nkx2-3
Ezr
Creb1
Ubp1
Xrcc4
Myef2
Vamp3
Gtf3a
Elf3
Arfgap1
Srebf2
Arid5b
Zc3h7a
Snapc4
Srbd1
Yeats4
Trmt1
Ube2v1
Arnt2
Mxd1
Ugp2
Smug1
Crebzf
Aff4
Smad5
Smarcb1
Canx
Foxn2
Timeless
Mrpl1
Nfat5
Cux1
Hlcs
Ncor2
Nucb1
Smarcc1
Crx
Zscan2
Ivd
Jun
Kat2a
Elk3
Arid5a
Terf2
Rpl35
Bach2
Ikzf2
Ran
Dus3l
Scmh1
Msrb3
Lsm6
Phf2
Topors
Dlx6
Sox2
Msx2
Foxa3
Zbtb37
Rbpjl
Etv3
Dmap1
Nr1h4
Zfp42
Smc3
Fez1
Phf20
Foxe3
Zscan20
Foxk2
Apex1
Hlf
Pum3
Agmat
Dgcr8
Pqbp1
Dpf2
Dido1
Meis2
Pknox1
Mctp2
Mafg
Nfkb1
Klf11
Celf5
Tbpl1
Prkaa2
Ikzf4
Nr6a1
Nr4a2
Magoh
Bdp1
Dtl
Ets2
Crtc2
Maff
Bcl3
Tfdp1
Sod1
Id1
Sap30
Smad1
Rora
Rbm22
Pole3
Gtpbp1
Gtf3c5
Rnf114
Hes6
Elk1
Atf2
Lin28b
Zbtb8a
Foxo1
Gtf2h3
Etv5
Atf5
Mrps25
Git2
Ddx20
Suclg1
Sox21
Fli1
Stub1
Nfyb
Tfap2b
Wdr83
Mylk
Elf5
Hmg20a
Hes1
Hmgb2
Nuak1
Tef
Hmgxb4
Zmat4
Cdc5l
Ppp1r10
Elf4
Vps72
Kdm4c
Mef2c
Tcf7l2
Zcchc14
Nfx1
Pura
Dlx1
Rela
Cdx1
Ddx43
Zdhhc5
Hnf4a
Elf1
Ubxn1
Ikzf1
Nr1h3
Rps4x
Cers5
Poli
Zbtb49
Trerf1
Cers4
Cbx7
H1fx
Foxn3
Sox14
Cebpb
Csnk2b
Aspscr1
Rfc3
Nme1
Gatad1
Foxf2
Terf1
H2afz
Klf1
P4hb
Agap2
Yod1
Ctcfl
Msi2
Cux2
Smad6
Rcor1
Zbtb17
Celf6
Ski
Rfc2
Hnf4g
E2f5
Cebpz
Epas1
Zbtb42
Meis1
Nkx2-6
Ezh2
Nfatc3
Cxxc1
Akr1a1
Pbx2
Pitx3
Lhx9
Clk1
U2af1
Rarg
Pparg
Trim28
Pds5a
Tia1
Rara
Tfap2a
Egr3
Smarca1
Pax9
Phf8
Fubp1
Smap2
Tfcp2l1
Foxi2
Rorb
Tead1
Mnt
Parp1
Irf8
Nup133
Xrcc1
Pou4f1
Kdm5a
Klf15
Ddx4
Irf7
Usf1
Vdr
Smarcc2
Mybl2
Mynn
Gli2
Zscan10
Gar1
Ldb1
Mdm2
Phf1
Hcfc2
Ppara
Esrp1
Neurog3
Six6
Aebp2
Otx2
Jund
Tbp
Crem
Hbp1
Irf2
Six3
Pax5
Mxd4
Rpp25
Arntl
Hivep3
Smad2
Hivep1
Ywhae
Arid3b
Klf5
Irf4
Trim24
Gbx2
Tsc22d4
Otud4
Irf1
Zhx1
Ecsit
Sox4
Trmo
Nr1i2
Zbtb24
Prdm4
Sp4
Pdlim5
Lin28a
Gfi1
Ikzf3
Rbm17
Dnmt3a
Pou6f1
Elk4
Pou2f3
Abl1
