TF,olfactory,forebrain,rest,trigeminal,epibranchial,otic,adenohypophyseal,otic_vesicle,epibranchial_neurulation,trigeminal__neurulation,otic__neurulation,lens
Bhlhe22,0,0,0,0,0,0,0,0,0,1,1,0
Msc,0,0,0,0,0,0,0,0,0,1,0,0
Mitf,0,0,0,0,0,0,0,1,0,0,0,0
Tcfl5,0,0,1,1,1,1,1,0,1,1,0,0
Hes5,1,1,0,0,0,0,0,0,0,0,0,0
Neurog1,0,0,0,1,0,0,0,0,1,1,1,0
Arntl,1,1,0,0,0,0,0,1,0,0,0,0
Tef,1,1,0,0,0,0,0,0,0,0,0,1
Nfil3,0,0,1,0,0,0,0,1,1,1,0,1
Crem,1,1,1,0,1,0,0,1,1,1,1,1
Zfp711,1,1,1,0,1,1,1,1,1,1,1,1
Foxc1,1,1,1,1,1,1,1,0,1,1,0,1
Myrf,0,0,0,0,0,0,0,1,0,0,0,0
Rarb,1,1,1,1,1,1,1,0,1,1,0,1
Mecom,1,1,1,0,0,0,1,1,0,0,0,1
Pax2,0,0,1,0,1,1,1,1,0,1,1,0
Creb5,0,0,0,0,0,0,0,0,1,1,0,0
Zeb1,0,0,1,0,0,0,0,0,1,1,1,0
Nr3c1,1,1,0,0,0,0,0,0,0,0,0,1
Klf4,1,1,0,0,0,0,0,0,0,0,0,0
Rela,1,1,1,1,0,1,0,1,1,1,0,1
Sox2,1,1,1,1,1,1,1,1,1,0,1,1
Stat3,0,0,0,0,0,0,0,0,1,1,0,0
Rfx1,1,1,1,0,0,0,0,1,0,0,0,1
Runx1,1,1,0,0,0,0,0,0,0,0,0,0
Ahr,0,0,0,1,0,1,0,1,0,0,0,1
Myc,1,1,1,0,0,0,1,0,1,0,0,1
Neurog2,0,0,0,0,0,0,0,0,1,1,0,0
Neurod1,0,0,0,0,0,0,0,0,1,1,1,0
Twist1,0,0,1,0,0,0,0,0,0,0,0,0
Nhlh1,0,0,0,0,0,0,0,0,1,1,1,0
Fosb,1,1,1,0,0,0,0,0,1,0,0,1
Fos,1,1,1,0,0,0,0,0,1,1,0,1
Ddit3,1,1,0,0,0,0,0,0,1,1,1,0
Batf3,1,1,1,0,0,0,0,0,0,0,0,1
Maff,1,1,0,0,0,0,0,0,0,0,0,0
Maf,1,1,0,1,1,1,1,0,0,0,0,1
Klf5,1,1,0,1,0,0,0,0,0,0,0,0
Snai2,0,0,1,0,0,0,0,0,1,1,1,1
Klf15,0,0,0,0,0,0,0,0,0,0,0,1
Zbtb7a,1,1,1,1,1,0,0,1,1,1,1,1
Zfp57,1,1,1,0,0,0,0,1,1,1,1,1
Ovol2,1,1,0,0,0,0,1,1,0,0,0,1
Prdm1,1,1,1,1,1,1,1,1,0,0,0,0
Prdm16,1,1,0,0,0,0,0,1,0,0,0,0
Zfp335,1,1,0,0,0,0,0,0,0,0,0,0
Zfp932,1,1,1,0,0,0,1,1,1,1,1,1
Insm1,0,0,0,0,0,0,0,0,1,1,1,0
Sp5,0,0,1,0,1,1,0,1,0,0,0,0
